Región;Identificador;Provincia;Comuna
Arica y Parinacota;XV;Arica;Arica
Arica y Parinacota;XV;Arica;Camarones
Arica y Parinacota;XV;Parinacota;General Lagos
Arica y Parinacota;XV;Parinacota;Putre
Tarapacá;I;Iquique;Alto Hospicio
Tarapacá;I;Iquique;Iquique
Tarapacá;I;Tamarugal;Camiña
Tarapacá;I;Tamarugal;Colchane
Tarapacá;I;Tamarugal;Huara
Tarapacá;I;Tamarugal;Pica
Tarapacá;I;Tamarugal;Pozo Almonte
Antofagasta;II;Antofagasta;Antofagasta
Antofagasta;II;Antofagasta;Mejillones
Antofagasta;II;Antofagasta;Sierra Gorda
Antofagasta;II;Antofagasta;Taltal
Antofagasta;II;El Loa;Calama
Antofagasta;II;El Loa;Ollagüe
Antofagasta;II;El Loa;San Pedro de Atacama
Antofagasta;II;Tocopilla;María Elena
Antofagasta;II;Tocopilla;Tocopilla
Atacama;III;Chañaral;Chañaral
Atacama;III;Chañaral;Diego de Almagro
Atacama;III;Copiapó;Caldera
Atacama;III;Copiapó;Copiapó
Atacama;III;Copiapó;Tierra Amarilla
Atacama;III;Huasco;Alto del Carmen
Atacama;III;Huasco;Freirina
Atacama;III;Huasco;Huasco
Atacama;III;Huasco;Vallenar
Coquimbo;IV;Choapa;Canela
Coquimbo;IV;Choapa;Illapel
Coquimbo;IV;Choapa;Los Vilos
Coquimbo;IV;Choapa;Salamanca
Coquimbo;IV;Elqui;Andacollo
Coquimbo;IV;Elqui;Coquimbo
Coquimbo;IV;Elqui;La Higuera
Coquimbo;IV;Elqui;La Serena
Coquimbo;IV;Elqui;Paihuano
Coquimbo;IV;Elqui;Vicuña
Coquimbo;IV;Limarí;Combarbalá
Coquimbo;IV;Limarí;Monte Patria
Coquimbo;IV;Limarí;Ovalle
Coquimbo;IV;Limarí;Punitaqui
Coquimbo;IV;Limarí;Río Hurtado
Valparaíso;V;Isla de Pascua;Isla de Pascua
Valparaíso;V;Los Andes;Calle Larga
Valparaíso;V;Los Andes;Los Andes
Valparaíso;V;Los Andes;Rinconada de Los Andes
Valparaíso;V;Los Andes;San Esteban
Valparaíso;V;Marga Marga;Limache
Valparaíso;V;Marga Marga;Olmué
Valparaíso;V;Marga Marga;Quilpué
Valparaíso;V;Marga Marga;Villa Alemana
Valparaíso;V;Petorca;Cabildo
Valparaíso;V;Petorca;La Ligua
Valparaíso;V;Petorca;Papudo
Valparaíso;V;Petorca;Petorca
Valparaíso;V;Petorca;Zapallar
Valparaíso;V;Quillota;Hijuelas
Valparaíso;V;Quillota;La Calera
Valparaíso;V;Quillota;La Cruz
Valparaíso;V;Quillota;Nogales
Valparaíso;V;Quillota;Quillota
Valparaíso;V;San Antonio;Algarrobo
Valparaíso;V;San Antonio;Cartagena
Valparaíso;V;San Antonio;El Quisco
Valparaíso;V;San Antonio;El Tabo
Valparaíso;V;San Antonio;San Antonio
Valparaíso;V;San Antonio;Santo Domingo
Valparaíso;V;San Felipe de Aconcagua;Catemu
Valparaíso;V;San Felipe de Aconcagua;Llaillay
Valparaíso;V;San Felipe de Aconcagua;Panquehue
Valparaíso;V;San Felipe de Aconcagua;Putaendo
Valparaíso;V;San Felipe de Aconcagua;San Felipe
Valparaíso;V;San Felipe de Aconcagua;Santa María
Valparaíso;V;Valparaíso;Casablanca
Valparaíso;V;Valparaíso;Concón
Valparaíso;V;Valparaíso;Juan Fernández
Valparaíso;V;Valparaíso;Puchuncaví
Valparaíso;V;Valparaíso;Quintero
Valparaíso;V;Valparaíso;Valparaíso
Valparaíso;V;Valparaíso;Viña del Mar
Libertador General Bernardo O'Higgins;VI;Cachapoal;Codegua
Libertador General Bernardo O'Higgins;VI;Cachapoal;Coínco
Libertador General Bernardo O'Higgins;VI;Cachapoal;Coltauco
Libertador General Bernardo O'Higgins;VI;Cachapoal;Doñihue
Libertador General Bernardo O'Higgins;VI;Cachapoal;Graneros
Libertador General Bernardo O'Higgins;VI;Cachapoal;Las Cabras
Libertador General Bernardo O'Higgins;VI;Cachapoal;Machalí
Libertador General Bernardo O'Higgins;VI;Cachapoal;Malloa
Libertador General Bernardo O'Higgins;VI;Cachapoal;Olivar
Libertador General Bernardo O'Higgins;VI;Cachapoal;Peumo
Libertador General Bernardo O'Higgins;VI;Cachapoal;Pichidegua
Libertador General Bernardo O'Higgins;VI;Cachapoal;Quinta de Tilcoco
Libertador General Bernardo O'Higgins;VI;Cachapoal;Rancagua
Libertador General Bernardo O'Higgins;VI;Cachapoal;Requínoa
Libertador General Bernardo O'Higgins;VI;Cachapoal;Rengo
Libertador General Bernardo O'Higgins;VI;Cachapoal;San Francisco de Mostazal
Libertador General Bernardo O'Higgins;VI;Cachapoal;San Vicente de Tagua Tagua
Libertador General Bernardo O'Higgins;VI;Cardenal Caro;La Estrella
Libertador General Bernardo O'Higgins;VI;Cardenal Caro;Litueche
Libertador General Bernardo O'Higgins;VI;Cardenal Caro;Marchigüe
Libertador General Bernardo O'Higgins;VI;Cardenal Caro;Navidad
Libertador General Bernardo O'Higgins;VI;Cardenal Caro;Paredones
Libertador General Bernardo O'Higgins;VI;Cardenal Caro;Pichilemu
Libertador General Bernardo O'Higgins;VI;Colchagua;Chépica
Libertador General Bernardo O'Higgins;VI;Colchagua;Chimbarongo
Libertador General Bernardo O'Higgins;VI;Colchagua;Lolol
Libertador General Bernardo O'Higgins;VI;Colchagua;Nancagua
Libertador General Bernardo O'Higgins;VI;Colchagua;Palmilla
Libertador General Bernardo O'Higgins;VI;Colchagua;Peralillo
Libertador General Bernardo O'Higgins;VI;Colchagua;Placilla
Libertador General Bernardo O'Higgins;VI;Colchagua;Pumanque
Libertador General Bernardo O'Higgins;VI;Colchagua;San Fernando
Libertador General Bernardo O'Higgins;VI;Colchagua;Santa Cruz
Maule;VII;Cauquenes;Cauquenes
Maule;VII;Cauquenes;Chanco
Maule;VII;Cauquenes;Pelluhue
Maule;VII;Curicó;Curicó
Maule;VII;Curicó;Hualañé
Maule;VII;Curicó;Licantén
Maule;VII;Curicó;Molina
Maule;VII;Curicó;Rauco
Maule;VII;Curicó;Romeral
Maule;VII;Curicó;Sagrada Familia
Maule;VII;Curicó;Teno
Maule;VII;Curicó;Vichuquén
Maule;VII;Linares;Colbún
Maule;VII;Linares;Linares
Maule;VII;Linares;Longaví
Maule;VII;Linares;Parral
Maule;VII;Linares;Retiro
Maule;VII;Linares;San Javier de Loncomilla
Maule;VII;Linares;Villa Alegre
Maule;VII;Linares;Yerbas Buenas
Maule;VII;Talca;Constitución
Maule;VII;Talca;Curepto
Maule;VII;Talca;Empedrado
Maule;VII;Talca;Maule
Maule;VII;Talca;Pelarco
Maule;VII;Talca;Pencahue
Maule;VII;Talca;Río Claro
Maule;VII;Talca;San Clemente
Maule;VII;Talca;San Rafael
Maule;VII;Talca;Talca
Ñuble;XVI;Diguillín;Bulnes
Ñuble;XVI;Diguillín;Chillán
Ñuble;XVI;Diguillín;Chillán Viejo
Ñuble;XVI;Diguillín;El Carmen
Ñuble;XVI;Diguillín;Pemuco
Ñuble;XVI;Diguillín;Pinto
Ñuble;XVI;Diguillín;Quillón
Ñuble;XVI;Diguillín;San Ignacio
Ñuble;XVI;Diguillín;Yungay
Ñuble;XVI;Itata;Cobquecura
Ñuble;XVI;Itata;Coelemu
Ñuble;XVI;Itata;Ninhue
Ñuble;XVI;Itata;Portezuelo
Ñuble;XVI;Itata;Quirihue
Ñuble;XVI;Itata;Ránquil
Ñuble;XVI;Itata;Treguaco
Ñuble;XVI;Punilla;Coihueco
Ñuble;XVI;Punilla;Ñiquén
Ñuble;XVI;Punilla;San Carlos
Ñuble;XVI;Punilla;San Fabián
Ñuble;XVI;Punilla;San Nicolás
Biobío;VIII;Arauco;Arauco
Biobío;VIII;Arauco;Cañete
Biobío;VIII;Arauco;Contulmo
Biobío;VIII;Arauco;Curanilahue
Biobío;VIII;Arauco;Lebu
Biobío;VIII;Arauco;Los Álamos
Biobío;VIII;Arauco;Tirúa
Biobío;VIII;Biobío;Alto Biobío
Biobío;VIII;Biobío;Antuco
Biobío;VIII;Biobío;Cabrero
Biobío;VIII;Biobío;Laja
Biobío;VIII;Biobío;Los Ángeles
Biobío;VIII;Biobío;Mulchén
Biobío;VIII;Biobío;Nacimiento
Biobío;VIII;Biobío;Negrete
Biobío;VIII;Biobío;Quilaco
Biobío;VIII;Biobío;Quilleco
Biobío;VIII;Biobío;San Rosendo
Biobío;VIII;Biobío;Santa Bárbara
Biobío;VIII;Biobío;Tucapel
Biobío;VIII;Biobío;Yumbel
Biobío;VIII;Concepción;Chiguayante
Biobío;VIII;Concepción;Concepción
Biobío;VIII;Concepción;Coronel
Biobío;VIII;Concepción;Florida
Biobío;VIII;Concepción;Hualpén
Biobío;VIII;Concepción;Hualqui
Biobío;VIII;Concepción;Lota
Biobío;VIII;Concepción;Penco
Biobío;VIII;Concepción;San Pedro de la Paz
Biobío;VIII;Concepción;Santa Juana
Biobío;VIII;Concepción;Talcahuano
Biobío;VIII;Concepción;Tomé
Araucanía;IX;Cautín;Carahue
Araucanía;IX;Cautín;Cholchol
Araucanía;IX;Cautín;Cunco
Araucanía;IX;Cautín;Curarrehue
Araucanía;IX;Cautín;Freire
Araucanía;IX;Cautín;Galvarino
Araucanía;IX;Cautín;Gorbea
Araucanía;IX;Cautín;Lautaro
Araucanía;IX;Cautín;Loncoche
Araucanía;IX;Cautín;Melipeuco
Araucanía;IX;Cautín;Nueva Imperial
Araucanía;IX;Cautín;Padre Las Casas
Araucanía;IX;Cautín;Perquenco
Araucanía;IX;Cautín;Pitrufquén
Araucanía;IX;Cautín;Pucón
Araucanía;IX;Cautín;Saavedra
Araucanía;IX;Cautín;Temuco
Araucanía;IX;Cautín;Teodoro Schmidt
Araucanía;IX;Cautín;Toltén
Araucanía;IX;Cautín;Vilcún
Araucanía;IX;Cautín;Villarrica
Araucanía;IX;Malleco;Angol
Araucanía;IX;Malleco;Collipulli
Araucanía;IX;Malleco;Curacautín
Araucanía;IX;Malleco;Ercilla
Araucanía;IX;Malleco;Lonquimay
Araucanía;IX;Malleco;Los Sauces
Araucanía;IX;Malleco;Lumaco
Araucanía;IX;Malleco;Purén
Araucanía;IX;Malleco;Renaico
Araucanía;IX;Malleco;Traiguén
Araucanía;IX;Malleco;Victoria
Los Ríos;XIV;Ranco;Futrono
Los Ríos;XIV;Ranco;La Unión
Los Ríos;XIV;Ranco;Lago Ranco
Los Ríos;XIV;Ranco;Río Bueno
Los Ríos;XIV;Valdivia;Corral
Los Ríos;XIV;Valdivia;Lanco
Los Ríos;XIV;Valdivia;Los Lagos
Los Ríos;XIV;Valdivia;Máfil
Los Ríos;XIV;Valdivia;Mariquina
Los Ríos;XIV;Valdivia;Paillaco
Los Ríos;XIV;Valdivia;Panguipulli
Los Ríos;XIV;Valdivia;Valdivia
Los Lagos;X;Chiloé;Ancud
Los Lagos;X;Chiloé;Castro
Los Lagos;X;Chiloé;Chonchi
Los Lagos;X;Chiloé;Curaco de Vélez
Los Lagos;X;Chiloé;Dalcahue
Los Lagos;X;Chiloé;Puqueldón
Los Lagos;X;Chiloé;Queilén
Los Lagos;X;Chiloé;Quellón
Los Lagos;X;Chiloé;Quemchi
Los Lagos;X;Chiloé;Quinchao
Los Lagos;X;Llanquihue;Calbuco
Los Lagos;X;Llanquihue;Cochamó
Los Lagos;X;Llanquihue;Fresia
Los Lagos;X;Llanquihue;Frutillar
Los Lagos;X;Llanquihue;Llanquihue
Los Lagos;X;Llanquihue;Los Muermos
Los Lagos;X;Llanquihue;Maullín
Los Lagos;X;Llanquihue;Puerto Montt
Los Lagos;X;Llanquihue;Puerto Varas
Los Lagos;X;Osorno;Osorno
Los Lagos;X;Osorno;Puerto Octay
Los Lagos;X;Osorno;Purranque
Los Lagos;X;Osorno;Puyehue
Los Lagos;X;Osorno;Río Negro
Los Lagos;X;Osorno;San Pablo
Los Lagos;X;Osorno;San Juan de la Costa
Los Lagos;X;Palena;Chaitén
